word,phonetic,meaning,example
sustain,/səˈsteɪn/,维持,We need enough food to sustain life.
illuminate,/ɪˈluːmɪneɪt/,照亮,The lamp illuminates the dark room.
deficit,/ˈdefɪsɪt/,赤字,The company faces a budget deficit.
vulnerable,/ˈvʌlnərəbl/,易受伤害的,Children are vulnerable to this disease.
compromise,/ˈkɑːmprəmaɪz/,妥协,They reached a compromise after long talks.
thrive,/θraɪv/,兴旺,These plants thrive in sunlight.
conceive,/kənˈsiːv/,构想,He conceived a brilliant plan.
exceed,/ɪkˈsiːd/,超过,His performance exceeded my expectations.
fluctuate,/ˈflʌktʃueɪt/,波动,Prices fluctuate daily in this market.
negligible,/ˈneɡlɪdʒəbl/,微不足道的,The error is negligible for this test.
mitigate,/ˈmɪtɪɡeɪt/,减轻,This medicine can mitigate the pain.
obscure,/əbˈskjʊr/,模糊的,The stars are obscured by clouds.
persist,/pərˈsɪst/,坚持,He persists in his bad habits.
rational,/ˈræʃənl/,理性的,She made a rational decision.
rigorous,/ˈrɪɡərəs/,严格的,The exam has rigorous standards.
spontaneous,/spɑːnˈteɪniəs/,自发的,The crowd gave spontaneous applause.
transient,/ˈtrænʃnt/,短暂的,Life is transient so enjoy every moment.
underlying,/ˌʌndərˈlaɪɪŋ/,潜在的,The underlying cause is still unknown.
versatile,/ˈvɜːrsətl/,多功能的,This tool is very versatile.
withstand,/wɪðˈstænd/,承受,The bridge can withstand strong winds.
zealous,/ˈzeləs/,热情的,She is a zealous supporter of the cause.
accommodate,/əˈkɑːmədeɪt/,容纳,This hall can accommodate 500 people.
ambiguous,/æmˈbɪɡjuəs/,含糊不清的,His reply was ambiguous to everyone.
benevolent,/bəˈnevələnt/,仁慈的,He is a benevolent old man.
coherent,/koʊˈhɪrənt/,连贯的,Your essay is not coherent at all.
deteriorate,/dɪˈtɪriəreɪt/,恶化,His health began to deteriorate rapidly.
elaborate,/ɪˈlæbərət/,详尽的,She gave an elaborate explanation.
fragile,/ˈfrædʒl/,易碎的,Handle this fragile vase carefully.
gracious,/ˈɡreɪʃəs/,亲切的,She was gracious to all guests.
hierarchy,/ˈhaɪərɑːrki/,等级制度,The company has a strict hierarchy.
identical,/aɪˈdentɪkl/,完全相同的,These two keys are identical.
jeopardize,/ˈdʒepərdaɪz/,危及,Smoking can jeopardize your health.
keen,/kiːn/,敏锐的,Dogs have a keen sense of smell.
legitimate,/lɪˈdʒɪtɪmət/,合法的,This business is legitimate.
magnify,/ˈmæɡnɪfaɪ/,放大,A microscope magnifies tiny objects.
notorious,/noʊˈtɔːriəs/,臭名昭著的,The city is notorious for crime.
obligation,/ˌɑːblɪˈɡeɪʃn/,义务,You have an obligation to report this.
plausible,/ˈplɔːzəbl/,似乎合理的,His story sounds plausible but false.
quench,/kwentʃ/,解渴,Water quenches your thirst best.
replenish,/rɪˈplenɪʃ/,补充,Let me replenish your glass.
scrutinize,/ˈskruːtənaɪz/,仔细检查,The lawyer scrutinized the document.
tedious,/ˈtiːdiəs/,冗长乏味的,This work is really tedious.
unanimous,/juːˈnænɪməs/,全体一致的,The vote was unanimous.
validate,/ˈvælɪdeɪt/,证实,Experiments validated his theory.
warrant,/ˈwɔːrənt/,保证,His skill warrants your trust.
yield,/jiːld/,产生,This investment yields high returns.
zeal,/ziːl/,热情,He worked with great zeal.
abrupt,/əˈbrʌpt/,突然的,The bus came to an abrupt stop.
blunt,/blʌnt/,直率的,His blunt reply surprised me.
casual,/ˈkæʒuəl/,随意的,She wore casual clothes to the party.
deduce,/dɪˈduːs/,推断,From the clues we can deduce the truth.
eccentric,/ɪkˈsentrɪk/,古怪的,My neighbor is an eccentric old man.
feasible,/ˈfiːzəbl/,可行的,Your plan sounds feasible.
grim,/ɡrɪm/,严峻的,The future looks grim for the industry.
hinder,/ˈhɪndər/,阻碍,Bad weather hindered our progress.
incentive,/ɪnˈsentɪv/,激励,The bonus is a strong incentive.
juvenile,/ˈdʒuːvənl/,青少年,This law applies to juveniles.
lucrative,/ˈluːkrətɪv/,利润丰厚的,He found a lucrative job.
marginal,/ˈmɑːrdʒɪnl/,微小的,There is only a marginal difference.
nuisance,/ˈnuːsns/,讨厌的人或事,The noise is a terrible nuisance.
opponent,/əˈpoʊnənt/,对手,He defeated his opponent easily.
paradigm,/ˈpærədaɪm/,范例,This case is a paradigm of justice.
quantify,/ˈkwɑːntɪfaɪ/,量化,It is hard to quantify happiness.
resilient,/rɪˈzɪliənt/,有韧性的,This material is highly resilient.
stagnant,/ˈstæɡnənt/,停滞的,The economy remains stagnant.
tentative,/ˈtentətɪv/,试探性的,We made a tentative agreement.
unprecedented,/ʌnˈpresɪdentɪd/,前所未有的,This is an unprecedented event.
vigorous,/ˈvɪɡərəs/,精力充沛的,He takes vigorous exercise daily.
widespread,/ˈwaɪdspred/,广泛的,There is widespread support for the law.
xenophobia,/ˌzenəˈfoʊbiə/,仇外心理,Xenophobia harms social harmony.
yearn,/jɜːrn/,渴望,She yearns for a peaceful life.
accumulate,/əˈkjuːmjəleɪt/,积累,Dust accumulates quickly on shelves.
bewilder,/bɪˈwɪldər/,使迷惑,The maze bewildered the children.
catastrophe,/kəˈtæstrəfi/,灾难,The earthquake was a major catastrophe.
dilemma,/dɪˈlemə/,进退两难的境地,He faced a moral dilemma.
escalate,/ˈeskəleɪt/,升级,The conflict may escalate further.
foster,/ˈfɔːstər/,培养,This program fosters creativity.
grievous,/ˈɡriːvəs/,严重的,The loss is a grievous blow.
hamper,/ˈhæmpər/,妨碍,His injury hampered his performance.
impair,/ɪmˈper/,损害,Alcohol can impair your judgment.
lavish,/ˈlævɪʃ/,浪费的,He threw a lavish party.
malicious,/məˈlɪʃəs/,恶意的,Someone spread malicious rumors.
nominate,/ˈnɑːmɪneɪt/,提名,They nominated him for the award.
overt,/oʊˈvɜːrt/,公开的,There is no overt hostility.
pragmatic,/præɡˈmætɪk/,务实的,She is a pragmatic manager.
reciprocate,/rɪˈsɪprəkeɪt/,回报,He never reciprocates my kindness.
scrutiny,/ˈskruːtəni/,细查,His actions came under scrutiny.
tangible,/ˈtændʒəbl/,有形的,We need tangible results.
ultimatum,/ˌʌltɪˈmeɪtəm/,最后通牒,The enemy ignored the ultimatum.
viable,/ˈvaɪəbl/,可行的,Is this solution commercially viable?
wholesome,/ˈhoʊlsəm/,有益健康的,Eat wholesome foods.
adapt,/əˈdæpt/,适应,Animals adapt to new environments.
brevity,/ˈbrevəti/,简洁,The brevity of his speech impressed me.
consensus,/kənˈsensəs/,共识,The group reached a consensus.
distort,/dɪˈstɔːrt/,扭曲,His face was distorted by anger.
endure,/ɪnˈdʊr/,忍受,She endured the pain bravely.
facilitate,/fəˈsɪlɪteɪt/,促进,This tool facilitates communication.
genuine,/ˈdʒenjuɪn/,真诚的,Her smile was genuine.
homogeneous,/ˌhoʊməˈdʒiːniəs/,同质的,The population is not homogeneous.
inevitable,/ɪnˈevɪtəbl/,不可避免的,Accidents are inevitable in traffic.
jargon,/ˈdʒɑːrɡən/,行话,This document is full of technical jargon.
keenly,/ˈkiːnli/,强烈地,He is keenly aware of the danger.
latent,/ˈleɪtnt/,潜在的,Latent talent may emerge later.
momentum,/moʊˈmentəm/,动力,The campaign gained momentum.
novel,/ˈnɑːvl/,新颖的,She has a novel approach to the problem.
optimal,/ˈɑːptɪməl/,最佳的,This is the optimal solution.
prominent,/ˈprɑːmɪnənt/,突出的,He is a prominent scientist.
query,/ˈkwɪri/,疑问,I have a query about this bill.
reconcile,/ˈrekənsaɪl/,调和,We must reconcile work and family.
